x-axis,1,2
second,Volt,Volt
-110.0000E-03,-155.0588502E+00,-3.5647E-03
-109.8900E-03,-129.9332226E+00,-13.6149E-03
-109.7800E-03,+140.1672732E+00,-179.4441E-03
-109.6700E-03,+52.2275769E+00,-282.4591E-03
-109.5600E-03,-173.9030708E+00,-88.9918E-03
-109.4500E-03,-161.3402570E+00,-56.3285E-03
-109.3400E-03,-123.6518158E+00,-68.8913E-03
-109.2300E-03,-161.3402570E+00,-192.0069E-03
-109.1200E-03,+127.6044594E+00,-297.5345E-03
-109.0100E-03,-92.2447814E+00,+114.5258E-03
-108.9000E-03,-167.6216639E+00,+6.3286E-03
-108.7900E-03,-130.3258106E+00,-68.8913E-03
-108.6800E-03,-155.0588502E+00,-11.1023E-03
-108.5700E-03,-117.7629968E+00,+194.7708E-03
-108.4600E-03,+246.5586022E+00,-526.1777E-03
-108.3500E-03,-173.9030708E+00,-144.2682E-03
-108.2400E-03,-142.8886243E+00,+91.9127E-03
-108.1300E-03,-136.6072174E+00,-28.8473E-03
-108.0200E-03,-167.6216639E+00,-13.6149E-03
-107.9100E-03,+45.5535821E+00,+31.4542E-03
-107.8000E-03,+39.6647631E+00,+250.0472E-03
-107.6900E-03,-205.3101052E+00,+74.3248E-03
-107.5800E-03,-111.4815899E+00,-96.5295E-03
-107.4700E-03,-167.6216639E+00,+38.9919E-03
-107.3600E-03,-167.6216639E+00,-8.7468E-03
-107.2500E-03,+89.5234302E+00,-234.7204E-03
-107.1400E-03,-4.3050850E+00,+169.6451E-03
-107.0300E-03,-92.2447814E+00,+116.8813E-03
-106.9200E-03,-142.4960364E+00,-91.5044E-03
-106.8100E-03,-186.4658846E+00,+3.9730E-03
-106.7000E-03,-155.4514381E+00,+16.3788E-03
-106.5900E-03,+102.0862440E+00,-310.0973E-03
-106.4800E-03,-111.0890020E+00,-257.4905E-03
-106.3700E-03,-117.3704089E+00,+6.3286E-03
-106.2600E-03,-167.6216639E+00,+33.9668E-03
-106.1500E-03,-174.2956587E+00,-13.6149E-03
-106.0400E-03,-42.3861143E+00,+177.1828E-03
-105.9300E-03,+202.5887540E+00,-182.1136E-03
-105.8200E-03,-23.1493057E+00,-167.0383E-03
-105.7100E-03,-92.6373693E+00,-76.4290E-03
-105.6000E-03,-174.2956587E+00,-1.0521E-03
-105.4900E-03,-186.8584725E+00,+16.3788E-03
-105.3800E-03,-36.1047074E+00,+28.9416E-03
-105.2700E-03,+196.3073472E+00,-689.4943E-03
-105.1600E-03,-29.8233005E+00,-1.2091E-03
